Name;Type;Size
printFStamina(unsigned char, unsigned char, unsigned char);T;78
micros;T;76
delay;T;76
catInt(int);T;76
moveCursor(unsigned char, unsigned char);T;76
Print::print(__FlashStringHelper const*);T;70
tx_buffer;B;68
rx_buffer;B;68
analogRead;T;68
__fp_split3;T;68
random(long);T;68
String::copy(char const*, unsigned int);T;66
Display::command(unsigned char);T;64
Print::println();T;64
HardwareSerial::peek();T;64
Print::println(int, int);T;62
printCaret(unsigned char);T;62
Buttons::repeat(unsigned char, unsigned char);T;60
Print::println(unsigned char, int);T;60
random(long, long);T;60
calloc;T;56
String::reserve(unsigned int);T;56
Print::write(char const*);W;56
itemOffset(unsigned char);T;54
strstr;T;52
String::changeBuffer(unsigned int);T;52
nextCaretOnScreen();T;52
printCmprSgn(unsigned char, unsigned char);T;52
String::operator=(char const*);T;50
PFF::open_dir(char*);T;50
SPIClass::begin();T;46
printAlpha(unsigned char, unsigned char);T;46
DF_eqp_ini;t;43
Display::clear();T;42
prevCaretOnScreen();T;42
Gamebuino::changeGame()::__c;t;40
Print::println(__FlashStringHelper const*);T;40
Display::setFont(unsigned char const*);T;38
PFF::fatfs_obj;B;38
serialEventRun();W;38
Gamebuino::changeGame()::__c;t;37
String::invalidate();T;36
Print::print(unsigned char, int);T;36
loop::__c;t;35
disk_attach_spi_functs;T;34
__fp_round;T;34
SPIClass::setClockDivider(unsigned char);T;34
Print::print(unsigned int, int);T;34
HardwareSerial::available();T;34
nbOfEquipment();T;34
Serial;B;34
DF_title2;t;33
strrev;T;32
strncat_P;T;32
strncat;T;32
Buttons::begin();T;32
HardwareSerial::flush();T;32
catStr(__FlashStringHelper const*);T;32
strncpy;T;30
main;T;30
Print::print(unsigned long, int);T;30
keyboard;t;30
millis;T;28
catStr(char*);T;28
changeStat(unsigned char&);T;28
backToBook();T;28
printFString(unsigned char, char const*);T;24
strcat;T;22
PFF::PFF();T;22
DF_title1;t;22
global constructors keyed to gb;t;22
showAbout()::__c;t;21
showAbout()::__c;t;21
DF_po_ski;t;21
DF_m4s1;t;21
DF_m3s2;t;21
DF_m1s2;t;21
DF_m1s1;t;21
DF_adv;t;21
digital_pin_to_timer_PGM;T;20
digital_pin_to_port_PGM;T;20
digital_pin_to_bit_mask_PGM;T;20
Gamebuino::displayBattery()::__c;t;20
showAbout()::__c;t;20
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;20
Gamebuino::setFrameRate(unsigned char);T;20
Display::drawFastVLine(signed char, signed char, signed char);T;20
Display::drawFastHLine(signed char, signed char, signed char);T;20
Buttons::pressed(unsigned char);T;20
Battery::begin();T;20
DF_po_sta;t;20
DF_po_luc;t;20
DF_m5s3;t;20
DF_tyl;t;20
skull;t;20
showAbout()::__c;t;19
showAbout()::__c;t;19
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;19
DF_add;t;19
srandom;T;18
memcpy;T;18
loop::__c;t;18
SPIClass::setBitOrder(unsigned char);T;18
DF_m5s2;t;18
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;17
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;17
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;17
DF_m5s1;t;17
DF_m3s1;t;17
DF_m2s1;t;17
vtable for HardwareSerial;V;16
Gamebuino::popup(char const*, unsigned char);T;16
Print::print(char);T;16
DF_roll2;t;16
randomSeed(unsigned int);T;16
DF_flee;t;15
strcpy_P;T;14
strcpy;T;14
memset;T;14
__fp_zero;T;14
__fp_pscB;T;14
__fp_pscA;T;14
rx();T;14
Gamebuino::displayBattery()::__c;t;13
DF_roll1;t;13
DF_meal;t;13
DF_eqp;t;13
yd;D;12
ed;D;12
__fp_inf;T;12
numKeyboard(int, unsigned char)::__c;t;12
String::~String();T;12
PFF::dir_obj;B;12
PFF::MMC_DESELECT();T;12
PFF::MMC_SELECT();T;12
DF_prov;t;12
DF_pot2;t;12
DF_goto;t;12
DF_unlucky;t;12
numKeyboard(int, unsigned char)::__c;t;11
numKeyboard(int, unsigned char)::__c;t;11
DF_fight;t;11
DF_pot1;t;11
DF_sta;t;11
random;T;10
port_to_output_PGM;T;10
port_to_mode_PGM;T;10
port_to_input_PGM;T;10
__subsf3;T;10
__fixsfsi;T;10
showToc()::__c;t;10
Backlight::set(unsigned char);T;10
SPIClass::setDataMode(unsigned char);T;10
DF_pot0;t;10
DF_ski;t;10
DF_axn;t;10
tx(unsigned char);T;10
global constructors keyed to _ZN3PFF9fatfs_objE;t;10
numKeyboard(int, unsigned char)::__c;t;9
DF_pot255;t;9
DF_lucky;t;9
DF_about;t;9
e6;t;9
e5;t;9
e4;t;9
e3;t;9
e2;t;9
e1;t;9
d6;t;9
d5;t;9
d4;t;9
d3;t;9
d2;t;9
d1;t;9
showToc()::__c;t;8
alphaKeyboard(char*, unsigned char)::__c;t;8
vtable for Display;V;8
Backlight::begin();T;8
Display::setColor(signed char, signed char);T;8
Display::setColor(signed char);T;8
DF_potion;t;8
DF_m0s0;t;8
DF_luc;t;8
DF_menu5;T;8
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;7
random_r;T;6
__fp_nan;T;6
showToc()::__c;t;6
Print::print(char const*);T;6
DF_menu3;T;6
DF_menu1;T;6
DF_fsta;t;5
DF_you;t;5
timer0_overflow_count;B;4
timer0_millis;B;4
next;d;4
__mulsf3;T;4
showAbout()::__c;t;4
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;4
DF_gold2;t;4
DF_gold1;t;4
DF_fski;t;4
DF_menu4;T;4
DF_menu2;T;4
showFight()::__c;t;3
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;3
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;3
alphaKeyboard(char*, unsigned char)::__c;t;3
xmit_spi;b;2
rcv_spi;b;2
pre_byte;b;2
pre_block;b;2
post_byte;b;2
post_block;b;2
poffset;B;2
par;B;2
oldpoffset;B;2
oldcrline;B;2
ldverr;B;2
crline;B;2
__flp;B;2
__brkval_maximum;D;2
__brkval;D;2
showFight()::__c;t;2
showFight()::__c;t;2
showAbout()::__c;t;2
showAbout()::__c;t;2
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;2
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;2
myTitleScreen(__FlashStringHelper const*, __FlashStringHelper const*, unsigned char const*)::__c;t;2
alphaKeyboard(char*, unsigned char)::__c;t;2
alphaKeyboard(char*, unsigned char)::__c;t;2
alphaKeyboard(char*, unsigned char)::__c;t;2
printCmprSgn(unsigned char, unsigned char)::__c;t;2
printCmprSgn(unsigned char, unsigned char)::__c;t;2
printCmprSgn(unsigned char, unsigned char)::__c;t;2
numKeyboard(int, unsigned char)::__c;t;2
printCaret(unsigned char)::__c;t;2
printCaret(unsigned char)::__c;t;2
printAlpha(unsigned char, unsigned char)::__c;t;2
PFF::dir_path;B;2
PFF::MMC_CS;B;2
serialEvent();W;2
SELECT;b;2
FatFs;b;2
DESELECT;b;2
timer0_fract;b;1
staT;B;1
staC;B;1
skiT;B;1
skiC;B;1
prov;B;1
potionType;B;1
potion;B;1
pcaret;B;1
oldpcaret;B;1
nxpage;B;1
nxline;B;1
luT;B;1
luC;B;1
inAdvSheet;B;1
gold;B;1
analog_reference;D;1
PFFS;B;1
CardType;B;1
